planet_id,star_type,star_teff_k,star_magnitude_j,planet_radius_re,distance_pc,equilibrium_temp_k,in_habitable_zone,atmosphere_type,cloud_fraction,scale_height_km,o2_ch4_ratio,n_transits,broadband_snr,is_detected,noise_floor_ppm,transit_duration_h
8571,M,3433.3569956985593,10.57917139458917,2.5161965722723965,44.90010051228417,543.476577015535,False,earth_like,0.16929519701706583,6.4996779167144645,1.0,10,94.64765920651723,True,31.58965843665573,1.310087512933416
8571,M,3433.3569956985593,10.57917139458917,2.5161965722723965,44.90010051228417,543.476577015535,False,earth_like,0.16929519701706583,6.4996779167144645,1.0,20,109.59777096039868,True,26.432450112166322,1.310087512933416
8572,M,3098.0639361483827,9.750784374781729,0.953705697845515,24.954638178552663,158.8888509528726,False,reduced_o2_high_ch4,0.5614290980770913,9.637598748901532,0.001,5,118.07494145237196,True,25.821074640977088,2.6787846085064317
8572,M,3098.0639361483827,9.750784374781729,0.953705697845515,24.954638178552663,158.8888509528726,False,reduced_o2_high_ch4,0.5614290980770913,9.637598748901532,0.001,10,129.35826805290912,True,23.092037218866444,2.6787846085064317
8572,M,3098.0639361483827,9.750784374781729,0.953705697845515,24.954638178552663,158.8888509528726,False,reduced_o2_high_ch4,0.5614290980770913,9.637598748901532,0.001,20,136.6418168822414,True,21.600710520176957,2.6787846085064317
8573,M,3571.5969032754383,10.115938437065175,2.4328017489348372,38.71630651891914,141.4306532684595,False,reduced_o2_high_ch4,0.5016519732764919,9.245028694705676,0.001,5,201.27805356178806,True,23.97232791452867,5.869690671298543
8573,M,3571.5969032754383,10.115938437065175,2.4328017489348372,38.71630651891914,141.4306532684595,False,reduced_o2_high_ch4,0.5016519732764919,9.245028694705676,0.001,10,216.00829574107763,True,22.074870129138223,5.869690671298543
8573,M,3571.5969032754383,10.115938437065175,2.4328017489348372,38.71630651891914,141.4306532684595,False,reduced_o2_high_ch4,0.5016519732764919,9.245028694705676,0.001,20,225.0546360217291,True,21.062999547253824,5.869690671298543
8574,K,3767.3402756442533,8.46407111112509,2.4014867432887756,49.18429818305846,135.1166123739785,False,hycean,0.2933714236749215,6.08052213998857,0.002,5,1081.0356832186424,True,20.733259518308877,7.511859392553387
8574,K,3767.3402756442533,8.46407111112509,2.4014867432887756,49.18429818305846,135.1166123739785,False,hycean,0.2933714236749215,6.08052213998857,0.002,10,1104.4577604045435,True,20.369810155737426,7.511859392553387
8574,K,3767.3402756442533,8.46407111112509,2.4014867432887756,49.18429818305846,135.1166123739785,False,hycean,0.2933714236749215,6.08052213998857,0.002,20,1117.284650202191,True,20.185751979998805,7.511859392553387
8575,M,3113.767796013102,11.094627955795781,2.4428655281999636,46.88577215564509,134.74280496994072,False,abiotic_o2,0.5815061808932399,7.498462205570991,1000.0,5,15.017847198244707,True,33.48497213171575,3.418844512560333
8575,M,3113.767796013102,11.094627955795781,2.4428655281999636,46.88577215564509,134.74280496994072,False,abiotic_o2,0.5815061808932399,7.498462205570991,1000.0,10,19.42055078068926,True,27.579394242801527,3.418844512560333
8575,M,3113.767796013102,11.094627955795781,2.4428655281999636,46.88577215564509,134.74280496994072,False,abiotic_o2,0.5815061808932399,7.498462205570991,1000.0,20,24.05506013192082,True,24.08833034869742,3.418844512560333
8576,K,3915.492532263267,7.857187505725659,0.9280294314720587,39.155101567887094,178.22798072152986,False,reduced_o2_high_ch4,0.3669905858290649,10.943664678389581,0.001,5,101.78319856865157,True,20.4945279451189,6.400415123674171
8576,K,3915.492532263267,7.857187505725659,0.9280294314720587,39.155101567887094,178.22798072152986,False,reduced_o2_high_ch4,0.3669905858290649,10.943664678389581,0.001,10,102.9702589961638,True,20.248773738757656,6.400415123674171
8576,K,3915.492532263267,7.857187505725659,0.9280294314720587,39.155101567887094,178.22798072152986,False,reduced_o2_high_ch4,0.3669905858290649,10.943664678389581,0.001,20,103.58816130249174,True,20.124771277746376,6.400415123674171
8577,M,2958.3190832911355,11.192459193970588,3.1262589235556106,43.96246342335431,94.85793623644035,False,earth_like,0.2619896666875311,8.201267567843221,1.0,5,239.42232834852865,True,32.61831458047594,3.9936173038200633
8577,M,2958.3190832911355,11.192459193970588,3.1262589235556106,43.96246342335431,94.85793623644035,False,earth_like,0.2619896666875311,8.201267567843221,1.0,10,277.69937218168553,True,27.051320331654416,3.9936173038200633
8577,M,2958.3190832911355,11.192459193970588,3.1262589235556106,43.96246342335431,94.85793623644035,False,earth_like,0.2619896666875311,8.201267567843221,1.0,20,306.3391567128862,True,23.787311533757983,3.9936173038200633
8578,M,3021.9662316043023,11.389925504454258,1.5242451354355322,49.922272972832594,317.613778907932,False,reduced_o2_high_ch4,0.05001556242818794,9.861731567170908,0.001,5,242.44909242260843,True,55.467443013194654,1.2026443316766542
8578,M,3021.9662316043023,11.389925504454258,1.5242451354355322,49.922272972832594,317.613778907932,False,reduced_o2_high_ch4,0.05001556242818794,9.861731567170908,0.001,10,315.0087704654957,True,41.660484501427824,1.2026443316766542
8578,M,3021.9662316043023,11.389925504454258,1.5242451354355322,49.922272972832594,317.613778907932,False,reduced_o2_high_ch4,0.05001556242818794,9.861731567170908,0.001,20,389.54016624744173,True,32.66681539549033,1.2026443316766542
8579,M,3092.9241762931274,10.338530033753889,2.984607259044934,32.58350043817654,91.92139200122587,False,hycean,0.848876748493846,8.920402486562665,0.002,5,479.08081654393203,True,25.452059010492164,4.9436094847707155
8579,M,3092.9241762931274,10.338530033753889,2.984607259044934,32.58350043817654,91.92139200122587,False,hycean,0.848876748493846,8.920402486562665,0.002,10,525.1159528250589,True,22.888941739959378,4.9436094847707155
8579,M,3092.9241762931274,10.338530033753889,2.984607259044934,32.58350043817654,91.92139200122587,False,hycean,0.848876748493846,8.920402486562665,0.002,20,555.7208296946027,True,21.49306462562082,4.9436094847707155
8580,K,4768.950606007822,7.823919997204073,2.1185768859808154,48.20986946576083,308.7191757782625,False,reduced_o2_high_ch4,0.11612466782088506,9.946822362122404,0.001,5,188.7535390069159,True,20.4143936634255,7.200392999258399
